question,answer,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"Janet buys a multi-flavor pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet picks a cheese stick at random, what is the percentage chance it will be pepperjack?","First find the total number of cheesesticks: 15 cheddar + 30 mozzarella + 45 pepperjack = <<15+30+45=90>>90 cheese sticks
Then divide the number of pepperjack sticks by the total number of cheese sticks and multiply by 100% to express the answer as a percentage: 45 pepperjack sticks / 90 cheese sticks * 100% = 50%
#### 50","Question: Janet buys a multi-flavor pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet picks a cheese stick at random, what is the percentage chance it will be pepperjack?","A)
Question: Janet purchases a variety-pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet selects a cheese stick randomly, what is the percentage probability it will be pepperjack?

B)
Question: Janet acquires a multi-taste pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet chooses a cheese stick randomly, what is the percentage likelihood it will be pepperjack?

C)
Question: Janet procures a mixed-flavor bundle of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet elects a cheese stick at random, what is the percentage possibility it will be pepperjack?

D)
Question: Janet obtains a multi-flavored assortment of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet picks a cheese stick arbitrarily, what is the percentage chance it will be pepperjack?","Question: Janet purchases a variety-pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet selects a cheese stick randomly, what is the percentage probability it will be pepperjack?","Question: Janet acquires a multi-taste pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet chooses a cheese stick randomly, what is the percentage likelihood it will be pepperjack?","Question: Janet procures a mixed-flavor bundle of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet elects a cheese stick at random, what is the percentage possibility it will be pepperjack?","Question: Janet obtains a multi-flavored assortment of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet picks a cheese stick arbitrarily, what is the percentage chance it will be pepperjack?",A,A,A,A
"If eight liters is 20% the capacity of a container filled with water, calculate the total capacity of 40 such containers filled with water.","If eight liters is 20% the capacity of a container filled with water, when the container is full, which is 100%, the container will contain 100%/20% * 8 liters= 40 liters.
The total capacity of 40 such containers filled with water is 40*40 = <<40*40=1600>>1600 liters
#### 1600","Question: If eight liters is 20% the capacity of a container filled with water, calculate the total capacity of 40 such containers filled with water.","A)
Question: If eight litres equates to 20% of the capacity of a tank filled with water, compute the overall capacity of 40 similar tanks filled with water.

B)
Question: If eight litres represents 20% of the capacity of a vessel filled with water, determine the combined capacity of 40 such vessels filled with water.

C)
Question: If eight litres amounts to 20% of the capacity of a reservoir filled with water, ascertain the cumulative capacity of 40 identical reservoirs filled with water.

D)
Question: If eight litres corresponds to 20% of the capacity of a bin filled with water, work out the aggregate capacity of 40 such bins filled with water.","Question: If eight litres equates to 20% of the capacity of a tank filled with water, compute the overall capacity of 40 similar tanks filled with water.","Question: If eight litres represents 20% of the capacity of a vessel filled with water, determine the combined capacity of 40 such vessels filled with water.","Question: If eight litres amounts to 20% of the capacity of a reservoir filled with water, ascertain the cumulative capacity of 40 identical reservoirs filled with water.","Question: If eight litres corresponds to 20% of the capacity of a bin filled with water, work out the aggregate capacity of 40 such bins filled with water.",E,B,E,E
"85 paper stars are required to fill a glass jar. Luke has already made 33 stars, but he needs to fill 4 bottles. How many more stars must Luke make?","Luke must make 85 x 4 = <<85*4=340>>340 stars in total.
He needs to make another 340 - 33 = <<340-33=307>>307 stars.
#### 307","Question: 85 paper stars are required to fill a glass jar. Luke has already made 33 stars, but he needs to fill 4 bottles. How many more stars must Luke make?","A)
Question: 85 parchment celestial bodies are needed to pack a glass container. Luke has already constructed 33 stars, but he necessitates to stuff 4 jars. How many additional stars are required for Luke to construct?

B)
Question: 85 card stock astral shapes are demanded to store in a glass vessel. Luke has already crafted 33 stars, but his task involves filling 4 bottles. How many surplus stars does Luke need to create?

C)
Question: 85 paper astral objects are essential to occupy a glass receptacle. Luke has already produced 33 stars, yet he needs to fill up 4 containers. How many supplementary stars does Luke have to make?

D)
Question: 85 manuscript star forms are required to fill a glass jar. Luke has already fabricated 33 stars, but he has to complete 4 vessels. How many extra stars will Luke have to construct?","Question: 85 parchment celestial bodies are needed to pack a glass container. Luke has already constructed 33 stars, but he necessitates to stuff 4 jars. How many additional stars are required for Luke to construct?","Question: 85 card stock astral shapes are demanded to store in a glass vessel. Luke has already crafted 33 stars, but his task involves filling 4 bottles. How many surplus stars does Luke need to create?","Question: 85 paper astral objects are essential to occupy a glass receptacle. Luke has already produced 33 stars, yet he needs to fill up 4 containers. How many supplementary stars does Luke have to make?","Question: 85 manuscript star forms are required to fill a glass jar. Luke has already fabricated 33 stars, but he has to complete 4 vessels. How many extra stars will Luke have to construct?",E,B,C,D
"Amy is collecting candy for the car pool. She has 5 chocolate bars, 7 times as many M&Ms as chocolate bars, and 6 times as many marshmallows as M&Ms. Amy then arranges the candies into baskets. If she fills each basket with 10 candies, how many baskets will Amy fill?","Amy has 5*7=<<5*7=35>>35 M&Ms.
Amy has 35*6=<<35*6=210>>210 marshmallows.
Amy has 5+35+210=<<5+35+210=250>>250 candies.
She fills 250/10=<<250/10=25>>25 baskets.
#### 25","Question: Amy is collecting candy for the car pool. She has 5 chocolate bars, 7 times as many M&Ms as chocolate bars, and 6 times as many marshmallows as M&Ms. Amy then arranges the candies into baskets. If she fills each basket with 10 candies, how many baskets will Amy fill?","A)
Question: Amy is gathering sweets for the car pool. She has 5 chocolate bars, 7 times as much M&Ms as chocolate bars, and 6 times as much marshmallows as M&Ms. Amy then organizes the candies into baskets. If she sticks 10 candies in each basket, how many baskets will Amy pack?

B)
Question: Amy is amassing confectionery for the car pool. She possesses 5 chocolate bars, 7 times the amount of M&Ms as chocolate bars, and 6 times the quantity of marshmallows as M&Ms. Amy subsequently sorts the candies into baskets. If she places 10 candies into each basket, how many baskets will Amy prepare?

C)
Question: Amy is accumulating sweets for the car pool. She holds 5 chocolate bars, 7 times as many M&Ms as chocolate bars, and 6 times as many marshmallows as M&Ms. Amy then groups the candies into baskets. If she sets 10 candies in each basket, how many baskets will Amy stuff?

D)
Question: Amy is compiling candy for the car pool. She obtained 5 chocolate bars, 7 times the number of M&Ms as chocolate bars, and 6 times the amount of marshmallows as M&Ms. Amy then separates the candies into baskets. If she places 10 candies in each basket, how many baskets will Amy fill up?","Question: Amy is gathering sweets for the car pool. She has 5 chocolate bars, 7 times as much M&Ms as chocolate bars, and 6 times as much marshmallows as M&Ms. Amy then organizes the candies into baskets. If she sticks 10 candies in each basket, how many baskets will Amy pack?","Question: Amy is amassing confectionery for the car pool. She possesses 5 chocolate bars, 7 times the amount of M&Ms as chocolate bars, and 6 times the quantity of marshmallows as M&Ms. Amy subsequently sorts the candies into baskets. If she places 10 candies into each basket, how many baskets will Amy prepare?","Question: Amy is accumulating sweets for the car pool. She holds 5 chocolate bars, 7 times as many M&Ms as chocolate bars, and 6 times as many marshmallows as M&Ms. Amy then groups the candies into baskets. If she sets 10 candies in each basket, how many baskets will Amy stuff?","Question: Amy is compiling candy for the car pool. She obtained 5 chocolate bars, 7 times the number of M&Ms as chocolate bars, and 6 times the amount of marshmallows as M&Ms. Amy then separates the candies into baskets. If she places 10 candies in each basket, how many baskets will Amy fill up?",A,E,C,D
"Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?","If Rachel and Leah have the same age, then the sum of their ages would be 34 - 4 = <<34-4=30>>30.
So Leah would be 30/2 = <<30/2=15>>15 years old.
Hence, Rachel is 15 + 4 = <<15+4=19>>19 years old.
#### 19","Question: Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?","A)
Question: Rachel is 4 years senior to Leah. If the total of their ages is 34, how old is Rachel?

B)
Question: Rachel is 4 years more advanced in age than Leah. If the aggregate of their ages is 34, how old is Rachel?

C)
Question: Rachel is 4 years elder than Leah. If the combination of their ages is 34, how old is Rachel?

D)
Question: Rachel is 4 years ahead in age than Leah. If the sum total of their ages is 34, how old is Rachel?","Question: Rachel is 4 years senior to Leah. If the total of their ages is 34, how old is Rachel?","Question: Rachel is 4 years more advanced in age than Leah. If the aggregate of their ages is 34, how old is Rachel?","Question: Rachel is 4 years elder than Leah. If the combination of their ages is 34, how old is Rachel?","Question: Rachel is 4 years ahead in age than Leah. If the sum total of their ages is 34, how old is Rachel?",A,B,C,D
"Gunther just financed a John Deere tractor through the dealership.  If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he finance the tractor for?","There are 12 months in 1 year and his loan is for 5 years so that's 12*5 = <<12*5=60>>60 months
His monthly payment is $150.00 and he pays this for 60 months so his loan for the tractor was 150*60 = $<<150*60=9000.00>>9,000.00
#### 9000","Question: Gunther just financed a John Deere tractor through the dealership.  If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he finance the tractor for?","A)
Question: Gunther only underwrote a John Deere tractor via the dealership. If his monthly payment is $150.00 a month, for 5 years, with zero interest, how much did he fund the tractor for?

B)
Question: Gunther solely funded a John Deere tractor through the dealership. If his monthly payment is $150.00 a month, for 5 years, with null interest, how much did he underwrite the tractor for?

C)
Question: Gunther exclusively financed a John Deere tractor through the dealership. If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he subsidize the tractor for?

D)
Question: Gunther just bankrolled a John Deere tractor via the dealership. If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he bankroll the tractor for?","Question: Gunther only underwrote a John Deere tractor via the dealership. If his monthly payment is $150.00 a month, for 5 years, with zero interest, how much did he fund the tractor for?","Question: Gunther solely funded a John Deere tractor through the dealership. If his monthly payment is $150.00 a month, for 5 years, with null interest, how much did he underwrite the tractor for?","Question: Gunther exclusively financed a John Deere tractor through the dealership. If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he subsidize the tractor for?","Question: Gunther just bankrolled a John Deere tractor via the dealership. If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he bankroll the tractor for?",E,B,C,D
Mark started the day with 14 buttons. His friend Shane gave him 3 times that amount of buttons. Then his other friend Sam asked if he could have half of Mark’s buttons. How many buttons did Mark end up with?,"Shane gave Mark 14*3=<<14*3=42>>42 buttons
After that Mark had 42+14=<<42+14=56>>56 buttons
Then Mark gave 56/2=<<56/2=28>>28 buttons to Shane
Which left Mark with 28 buttons
#### 28",Question: Mark started the day with 14 buttons. His friend Shane gave him 3 times that amount of buttons. Then his other friend Sam asked if he could have half of Mark’s buttons. How many buttons did Mark end up with?,"A)
Question: Mark commenced the day with 14 buttons. His buddy Shane provided him 3 times that quantity of buttons. Later, his other pal Sam requested if he could possess half of Mark’s buttons. How many buttons did Mark conclude with?

B)
Question: Mark initiated the day with 14 buttons. His companion Shane supplied him thrice that number of buttons. Subsequently, his other associate Sam inquired if he could retain half of Mark’s buttons. How many buttons did Mark finish with?

C)
Question: Mark began the day with 14 buttons. His mate Shane bestowed him 3 multiples of that total of buttons. Next, his other chum Sam queried if he could acquire half of Mark’s buttons. How many buttons did Mark finally have?

D)
Question: Mark kicked off the day with 14 buttons. His amigo Shane endowed him 3 times that count of buttons. Afterwards, his other friend Sam posed if he could get half of Mark’s buttons. How many buttons did Mark eventually hold?","Question: Mark commenced the day with 14 buttons. His buddy Shane provided him 3 times that quantity of buttons. Later, his other pal Sam requested if he could possess half of Mark’s buttons. How many buttons did Mark conclude with?","Question: Mark initiated the day with 14 buttons. His companion Shane supplied him thrice that number of buttons. Subsequently, his other associate Sam inquired if he could retain half of Mark’s buttons. How many buttons did Mark finish with?","Question: Mark began the day with 14 buttons. His mate Shane bestowed him 3 multiples of that total of buttons. Next, his other chum Sam queried if he could acquire half of Mark’s buttons. How many buttons did Mark finally have?","Question: Mark kicked off the day with 14 buttons. His amigo Shane endowed him 3 times that count of buttons. Afterwards, his other friend Sam posed if he could get half of Mark’s buttons. How many buttons did Mark eventually hold?",E,B,C,D
"Since it is Maurice's turn to host this year’s neighborhood cookout, he goes to the local wholesale club to buy ground beef. The wholesale club sells ground beef in 5-pound packages. Maurice wants to make one 2-pound burger for each person that attends, so he purchases 4 packages of ground beef. How many people can Maurice invite to the cookout so that everybody, including himself, gets a burger?","Maurice buys 4 * 5 = <<4*5=20>>20 pounds of ground beef.
If 2 pounds of ground beef make a burger, then he can make 20/2 = 10 burgers.
Given that Maurice will have 1 burger, he can invite 10-1 = <<10-1=9>>9 people
#### 9","Question: Since it is Maurice's turn to host this year’s neighborhood cookout, he goes to the local wholesale club to buy ground beef. The wholesale club sells ground beef in 5-pound packages. Maurice wants to make one 2-pound burger for each person that attends, so he purchases 4 packages of ground beef. How many people can Maurice invite to the cookout so that everybody, including himself, gets a burger?","A)
Question: Given that it is Maurice's chance to organize this year’s community barbecue, he visits the nearby wholesale club to purchase ground beef. The wholesale club provides ground beef in 5-pound packets. Maurice intends to prepare one 2-pound patty for each attendee, hence he buys 4 packets of ground beef. How many individuals can Maurice invite to the barbecue so that everyone, himself included, is given a patty?

B)
Question: Since it's Maurice's opportunity to supervise this year’s district grill fest, he heads to the local wholesale retailer to acquire ground beef. The wholesale retailer offers ground beef in 5-pound bundles. Maurice plans to cook one 2-pound burger for each guest, therefore he gets hold of 4 bundles of ground beef. How many guests can Maurice ask to the grill fest so that each person, including Maurice, receives a burger?

C)
Question: As it's Maurice's moment to direct this year’s local grilling party, he proceeds to the vicinity wholesale depot to secure ground beef. The wholesale depot merchandises ground beef in 5-pound parcels. Maurice aims to dish up one 2-pound hamburger for each participant, consequently he secures 4 parcels of ground beef. How many participants can Maurice summon to the grilling party so that all, Maurice inclusive, are served a hamburger?

D)
Question: Since this year’s residential grill event falls on Maurice's shoulders, he traipses to the town wholesale warehouse to snag ground beef. The wholesale warehouse retails ground beef in 5-pound assortments. Maurice has in mind to produce one 2-pound sandwich for each person coming, as a result he snags 4 assortments of ground beef. How many attendees can Maurice call to the grill event so that everyone, Maurice accounted, enjoys a sandwich?","Question: Given that it is Maurice's chance to organize this year’s community barbecue, he visits the nearby wholesale club to purchase ground beef. The wholesale club provides ground beef in 5-pound packets. Maurice intends to prepare one 2-pound patty for each attendee, hence he buys 4 packets of ground beef. How many individuals can Maurice invite to the barbecue so that everyone, himself included, is given a patty?","Question: Since it's Maurice's opportunity to supervise this year’s district grill fest, he heads to the local wholesale retailer to acquire ground beef. The wholesale retailer offers ground beef in 5-pound bundles. Maurice plans to cook one 2-pound burger for each guest, therefore he gets hold of 4 bundles of ground beef. How many guests can Maurice ask to the grill fest so that each person, including Maurice, receives a burger?","Question: As it's Maurice's moment to direct this year’s local grilling party, he proceeds to the vicinity wholesale depot to secure ground beef. The wholesale depot merchandises ground beef in 5-pound parcels. Maurice aims to dish up one 2-pound hamburger for each participant, consequently he secures 4 parcels of ground beef. How many participants can Maurice summon to the grilling party so that all, Maurice inclusive, are served a hamburger?","Question: Since this year’s residential grill event falls on Maurice's shoulders, he traipses to the town wholesale warehouse to snag ground beef. The wholesale warehouse retails ground beef in 5-pound assortments. Maurice has in mind to produce one 2-pound sandwich for each person coming, as a result he snags 4 assortments of ground beef. How many attendees can Maurice call to the grill event so that everyone, Maurice accounted, enjoys a sandwich?",E,A,A,A
Cassandra collected 5000 pennies for the charity drive. James collected 276 fewer pennies. How many pennies did they donate to charity?,"James has 5000 - 276 = <<5000-276=4724>>4724 pennies.
They donated a total of 5000 + 4724 = <<5000+4724=9724>>9724 pennies.
#### 9724",Question: Cassandra collected 5000 pennies for the charity drive. James collected 276 fewer pennies. How many pennies did they donate to charity?,"A)
Question: Cassandra amassed 5000 cents for the philanthropic pursuit. James accumulated 276 fewer cents. How many cents did they give to philanthropy?

B)
Question: Cassandra gathered 5000 pennies for the charity campaign. James gathered 276 less pennies. How many pennies did they contribute to charity?

C)
Question: Cassandra procured 5000 pennies for the charitable event. James procured 276 fewer pennies. How many pennies did they offer to the charitable cause?

D)
Question: Cassandra secured 5000 pennies for the charity fundraiser. James secured 276 fewer pennies. How many pennies did they present to the charity?",Question: Cassandra amassed 5000 cents for the philanthropic pursuit. James accumulated 276 fewer cents. How many cents did they give to philanthropy?,Question: Cassandra gathered 5000 pennies for the charity campaign. James gathered 276 less pennies. How many pennies did they contribute to charity?,Question: Cassandra procured 5000 pennies for the charitable event. James procured 276 fewer pennies. How many pennies did they offer to the charitable cause?,Question: Cassandra secured 5000 pennies for the charity fundraiser. James secured 276 fewer pennies. How many pennies did they present to the charity?,A,E,A,D
"Emery and Serena go to their school library, and each borrows a copy of The life of Jack Steve's book to read for their school project. If Emery can read five times as fast as Serena, and the book takes her 20 days to read, what's the average number of days the two take to read the book?","If Emery took twenty days to read the book, then it took Serena 5*20 = <<20*5=100>>100 days to read the whole book.
The total number of days taken by the two to read the book is 100+20 = <<100+20=120>>120 days.
The average number of days the two take to read the book is 120/2 = <<120/2=60>>60 days.
#### 60","Question: Emery and Serena go to their school library, and each borrows a copy of The life of Jack Steve's book to read for their school project. If Emery can read five times as fast as Serena, and the book takes her 20 days to read, what's the average number of days the two take to read the book?","A)
Question: Emery and Serena visit their school library, and each takes out a copy of The life of Jack Steve's book to study for their school project. If Emery can read five times as quickly as Serena, and it takes her 20 days to complete the book, what's the average number of days the duo need to finish the book?

B)
Question: Emery and Serena head to their school library, and each lends a copy of The life of Jack Steve's book for their school project. If Emery can read five times faster than Serena, and she finishes the book in 20 days, what's the average number of days the pair use to read the book?

C)
Question: Emery and Serena travel to their school library, and each lends a copy of The life of Jack Steve's book to peruse for their school project. If Emery can read five times speedier than Serena, and the book demands 20 days from her to read, what's the average number of days the two require to read the book?

D)
Question: Emery and Serena proceed to their school library, and each secures a copy of The life of Jack Steve's book to examine for their school project. If Emery can read five times as rapidly as Serena, and the book calls for 20 days from her to be read, what's the average number of days the couple spends to read the book?","Question: Emery and Serena visit their school library, and each takes out a copy of The life of Jack Steve's book to study for their school project. If Emery can read five times as quickly as Serena, and it takes her 20 days to complete the book, what's the average number of days the duo need to finish the book?","Question: Emery and Serena head to their school library, and each lends a copy of The life of Jack Steve's book for their school project. If Emery can read five times faster than Serena, and she finishes the book in 20 days, what's the average number of days the pair use to read the book?","Question: Emery and Serena travel to their school library, and each lends a copy of The life of Jack Steve's book to peruse for their school project. If Emery can read five times speedier than Serena, and the book demands 20 days from her to read, what's the average number of days the two require to read the book?","Question: Emery and Serena proceed to their school library, and each secures a copy of The life of Jack Steve's book to examine for their school project. If Emery can read five times as rapidly as Serena, and the book calls for 20 days from her to be read, what's the average number of days the couple spends to read the book?",A,A,C,D
"A band's members each earn $20 per gig. If there are 4 members and they've earned $400, how many gigs have they played?","The band earns $80 per gig because 4 x 20 = <<4*20=80>>80
They played 5 gigs because 400 / 80 = <<400/80=5>>5
#### 5","Question: A band's members each earn $20 per gig. If there are 4 members and they've earned $400, how many gigs have they played?","A)
Question: A group's members each make $20 per performance. If there are 4 members and they've accumulated $400, how many performances have they done?

B)
Question: A band's individuals each gain $20 per concert. If there are 4 individuals and they've received $400, how many concerts have they participated in?

C)
Question: A troupe's members each get $20 per event. If there are 4 members and they've garnered $400, how many events have they partaken in?

D)
Question: A ensemble's participants each net $20 per showcase. If there are 4 participants and they've amassed $400, how many showcases have they been part of?","Question: A group's members each make $20 per performance. If there are 4 members and they've accumulated $400, how many performances have they done?","Question: A band's individuals each gain $20 per concert. If there are 4 individuals and they've received $400, how many concerts have they participated in?","Question: A troupe's members each get $20 per event. If there are 4 members and they've garnered $400, how many events have they partaken in?","Question: A ensemble's participants each net $20 per showcase. If there are 4 participants and they've amassed $400, how many showcases have they been part of?",A,B,A,A
"Holly wants to plant a wall of privacy trees along her fence line.  Her fence is 25 yards long.  At maturity, the trees she wants to plant will measure 1.5 feet wide.  Right now, these trees are on sale for $8.00 apiece.  How much will it cost her to plant a row of the trees to run the length of her fence?","3 feet are in 1 yard and her fence is 25 yards long so her fence is 3*25 = <<3*25=75>>75 feet long
At maturity these trees will measure 1.5 feet and she needs them to run along her 75-foot fence so she needs 75/1.5 = <<75/1.5=50>>50 trees
The trees cost $8.00 apiece and she needs 50 so 8*50 = $<<8*50=400.00>>400.00 worth of trees
#### 400","Question: Holly wants to plant a wall of privacy trees along her fence line.  Her fence is 25 yards long.  At maturity, the trees she wants to plant will measure 1.5 feet wide.  Right now, these trees are on sale for $8.00 apiece.  How much will it cost her to plant a row of the trees to run the length of her fence?","A)
Question: Holly intends to sow a barrier of seclusion trees beside her fencing boundary. Her fence encompasses 25 yards. When fully grown, the trees she plans to sow will span 1.5 feet in width. Currently, these trees are available for $8.00 per unit. What would be the expense for her to sow a series of these trees to cover the distance of her fence?

B)
Question: Holly aspires to propagate a hedge of privacy trees adjacent to her fence edge. This fence of hers stretches 25 yards. At their growth peak, the trees she's looking to propagate will reach 1.5 feet across. At this moment, these trees are being sold for $8.00 each. What's the total cost for her to propagate a line of these trees along the full stretch of her fence?

C)
Question: Holly wishes to install a row of private trees next to her fence border. Her fence is 25 yards in length. In their grown state, the trees she hopes to plant will have a width of 1.5 feet. These trees are presently priced at $8.00 per tree. How much expenditure would she incur to plant a row of these trees that will extend the entire length of her fence?

D)
Question: Holly plans to cultivate a screen of private trees parallel to her fence perimeter. Her fence extends 25 yards. Once fully developed, the trees she aims to cultivate will be 1.5 feet broad. As of now, these trees are retailing at $8.00 for every single tree. What is the total amount she will have to spend to cultivate a line of these trees that matches the entire width of her fence?","Question: Holly intends to sow a barrier of seclusion trees beside her fencing boundary. Her fence encompasses 25 yards. When fully grown, the trees she plans to sow will span 1.5 feet in width. Currently, these trees are available for $8.00 per unit. What would be the expense for her to sow a series of these trees to cover the distance of her fence?","Question: Holly aspires to propagate a hedge of privacy trees adjacent to her fence edge. This fence of hers stretches 25 yards. At their growth peak, the trees she's looking to propagate will reach 1.5 feet across. At this moment, these trees are being sold for $8.00 each. What's the total cost for her to propagate a line of these trees along the full stretch of her fence?","Question: Holly wishes to install a row of private trees next to her fence border. Her fence is 25 yards in length. In their grown state, the trees she hopes to plant will have a width of 1.5 feet. These trees are presently priced at $8.00 per tree. How much expenditure would she incur to plant a row of these trees that will extend the entire length of her fence?","Question: Holly plans to cultivate a screen of private trees parallel to her fence perimeter. Her fence extends 25 yards. Once fully developed, the trees she aims to cultivate will be 1.5 feet broad. As of now, these trees are retailing at $8.00 for every single tree. What is the total amount she will have to spend to cultivate a line of these trees that matches the entire width of her fence?",E,B,C,D
"A 26-mile circular marathon has four checkpoints inside it. The first is one mile from the start line, and the last checkpoint is one mile from the finish line. The checkpoints have equal spacing between them. How many miles apart are each of the consecutive checkpoints between the start-finish line?","The checkpoints are 1 mile from the start and finish, so they are spaced along 26 - 1 - 1 = 24 miles.
There are 4 equally spaced checkpoints, so the checkpoints are 24 / 4 = <<24/4=6>>6 miles apart.
#### 6","Question: A 26-mile circular marathon has four checkpoints inside it. The first is one mile from the start line, and the last checkpoint is one mile from the finish line. The checkpoints have equal spacing between them. How many miles apart are each of the consecutive checkpoints between the start-finish line?","A)
Question: A 26-mile round marathon has four stations within it. The initial is one mile distant from the kickoff, and the concluding station is one mile removed from the endpoint. The stations feature uniform intervals among them. How many miles separated are each of the subsequent stations from the beginning-end line?

B)
Question: A 26-mile ring-shaped marathon contains four waypoints in it. The opening one is a mile away from the outset, and the final waypoint is a single mile from the termination. The waypoints all have consistent gaps between them. What is the mile count between each pair of consecutive waypoints from the starting-terminating line?

C)
Question: A 26-mile looped marathon incorporates four control points within. The premier one is a single mile from the commencement, and the ultimate control point is one mile from the wrap up. The control points share equivalent distances amongst them. How many miles are between each of the following control points from the initial-final line?

D)
Question: A 26-mile cycle-like marathon involves four posts inside it. The onset post is one mile from the get-go, and the last post is a mile from the closure. The posts have homogeneous spacing between them. How many miles distinguish each of the straight posts from the get-go-closure line?","Question: A 26-mile round marathon has four stations within it. The initial is one mile distant from the kickoff, and the concluding station is one mile removed from the endpoint. The stations feature uniform intervals among them. How many miles separated are each of the subsequent stations from the beginning-end line?","Question: A 26-mile ring-shaped marathon contains four waypoints in it. The opening one is a mile away from the outset, and the final waypoint is a single mile from the termination. The waypoints all have consistent gaps between them. What is the mile count between each pair of consecutive waypoints from the starting-terminating line?","Question: A 26-mile looped marathon incorporates four control points within. The premier one is a single mile from the commencement, and the ultimate control point is one mile from the wrap up. The control points share equivalent distances amongst them. How many miles are between each of the following control points from the initial-final line?","Question: A 26-mile cycle-like marathon involves four posts inside it. The onset post is one mile from the get-go, and the last post is a mile from the closure. The posts have homogeneous spacing between them. How many miles distinguish each of the straight posts from the get-go-closure line?",E,E,C,D
James buys 100 tennis balls and gives half of them away.  The other half he puts into 5 large containers.  How many tennis balls go in each container?,"He keeps 100/2=<<100/2=50>>50 tennis balls
So 50/5=<<50/5=10>>10 go in each container
#### 10",Question: James buys 100 tennis balls and gives half of them away.  The other half he puts into 5 large containers.  How many tennis balls go in each container?,"A)
Question: James purchases 100 tennis balls and donates half of them. The remaining half he places into 5 sizable containers. How many tennis balls fit in each container?

B)
Question: James procures 100 tennis balls and hands over half of them. The other half he inserts into 5 substantial containers. How many tennis balls are allocated to each container?

C)
Question: James acquires 100 tennis balls and surrenders half of them. The other half he lodges into 5 bulky containers. How many tennis balls are deposited in each container?

D)
Question: James obtains 100 tennis balls and yields half of them. The remaining half he unloads into 5 outsized containers. How many tennis balls are stored in each container?",Question: James purchases 100 tennis balls and donates half of them. The remaining half he places into 5 sizable containers. How many tennis balls fit in each container?,Question: James procures 100 tennis balls and hands over half of them. The other half he inserts into 5 substantial containers. How many tennis balls are allocated to each container?,Question: James acquires 100 tennis balls and surrenders half of them. The other half he lodges into 5 bulky containers. How many tennis balls are deposited in each container?,Question: James obtains 100 tennis balls and yields half of them. The remaining half he unloads into 5 outsized containers. How many tennis balls are stored in each container?,A,A,C,D
